ticker,status,days_expected,days_with_success,days_with_parquet_no_success,days_missing,first_day_expected,first_day_found,last_day_found,issue_summary
BONT,INCOMPLETE_NO_SUCCESS,1864,0,1530,334,2011-10-17,2011-10-17,2017-11-09,1530 dias sin _SUCCESS
BOOM,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BOSC,EMPTY,1834,0,0,1834,2011-11-28,,,Directorio vacio
BOTJ,INCOMPLETE_NO_SUCCESS,1792,0,1561,231,2012-01-25,2012-01-25,2018-12-31,1561 dias sin _SUCCESS
BOXC,INCOMPLETE_NO_SUCCESS,1535,0,1013,522,2013-01-23,2013-01-23,2017-06-29,1013 dias sin _SUCCESS
BOXL,INCOMPLETE_NO_SUCCESS,279,0,273,6,2017-11-30,2017-11-30,2018-12-31,273 dias sin _SUCCESS
BPRN,INCOMPLETE_NO_SUCCESS,287,0,279,8,2017-11-20,2017-11-20,2018-12-31,279 dias sin _SUCCESS
BRCD,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BRID,EMPTY,1071,0,0,1071,2014-11-10,,,Directorio vacio
BRT,INCOMPLETE_PARTIAL,1864,6,0,1858,2011-10-17,2017-01-03,2017-01-10,1858 dias faltantes
BRY,INCOMPLETE_NO_SUCCESS,45,0,43,2,2018-10-29,2018-10-29,2018-12-31,43 dias sin _SUCCESS
BSET,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BSF,INCOMPLETE_NO_SUCCESS,1076,0,872,204,2014-11-03,2014-11-03,2018-04-20,872 dias sin _SUCCESS
BSFT,INCOMPLETE_NO_SUCCESS,1864,0,1585,279,2011-10-17,2011-10-17,2018-02-02,1585 dias sin _SUCCESS
BSI,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BSPM,INCOMPLETE_NO_SUCCESS,1864,0,1744,120,2011-10-17,2011-10-17,2018-09-18,1744 dias sin _SUCCESS
BSRR,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BSTG,INCOMPLETE_NO_SUCCESS,561,0,236,325,2016-10-31,2016-10-31,2017-10-06,236 dias sin _SUCCESS
BSVN,INCOMPLETE_NO_SUCCESS,45,0,43,2,2018-10-29,2018-10-29,2018-12-31,43 dias sin _SUCCESS
BTAI,INCOMPLETE_NO_SUCCESS,209,0,204,5,2018-03-12,2018-03-12,2018-12-31,204 dias sin _SUCCESS
BTE,INCOMPLETE_NO_SUCCESS,1864,0,1815,49,2011-10-17,2011-10-17,2018-12-31,1815 dias sin _SUCCESS
BTH,INCOMPLETE_NO_SUCCESS,1864,0,1005,859,2011-10-17,2011-10-17,2015-10-14,1005 dias sin _SUCCESS
BUSE,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BV,INCOMPLETE_NO_SUCCESS,1764,0,1616,148,2012-03-05,2012-03-05,2018-12-31,1616 dias sin _SUCCESS
BW,EMPTY,803,0,0,803,2015-11-23,,,Directorio vacio
BWB,INCOMPLETE_NO_SUCCESS,207,0,202,5,2018-03-14,2018-03-14,2018-12-31,202 dias sin _SUCCESS
BWEN,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
BWFG,INCOMPLETE_NO_SUCCESS,1074,0,1041,33,2014-11-05,2014-11-05,2018-12-31,1041 dias sin _SUCCESS
BWINA,EMPTY,1282,0,0,1282,2014-01-16,,,Directorio vacio
BWINB,INCOMPLETE_NO_SUCCESS,1864,0,1708,156,2011-10-17,2011-10-17,2018-07-31,1708 dias sin _SUCCESS
BWLD,INCOMPLETE_NO_SUCCESS,1864,0,1589,275,2011-10-17,2011-10-17,2018-02-05,1589 dias sin _SUCCESS
BWP,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BWS,INCOMPLETE_NO_SUCCESS,1864,0,908,956,2011-10-17,2011-10-17,2015-05-28,908 dias sin _SUCCESS
BXC,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
BY,INCOMPLETE_NO_SUCCESS,287,0,279,8,2017-11-20,2017-11-20,2018-12-31,279 dias sin _SUCCESS
BYBK,INCOMPLETE_NO_SUCCESS,1333,0,1033,300,2013-11-04,2013-11-04,2018-04-13,1033 dias sin _SUCCESS
BYFC,EMPTY,1729,0,0,1729,2012-04-23,,,Directorio vacio
BYSI,INCOMPLETE_NO_SUCCESS,253,0,246,7,2018-01-09,2018-01-09,2018-12-31,246 dias sin _SUCCESS
BZH,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
CAA,INCOMPLETE_NO_SUCCESS,803,0,1,802,2015-11-23,2017-01-03,2017-01-03,1 dias sin _SUCCESS
CAAS,INCOMPLETE_NO_SUCCESS,1864,0,1814,50,2011-10-17,2011-10-17,2018-12-31,1814 dias sin _SUCCESS
CAB,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CABO,INCOMPLETE_NO_SUCCESS,803,0,781,22,2015-11-23,2015-11-23,2018-12-31,781 dias sin _SUCCESS
CAC,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CACB,INCOMPLETE_NO_SUCCESS,1864,0,1413,451,2011-10-17,2011-10-17,2017-05-30,1413 dias sin _SUCCESS
CACQ,INCOMPLETE_NO_SUCCESS,1322,0,977,345,2013-11-19,2013-11-19,2017-10-05,977 dias sin _SUCCESS
CAFD,INCOMPLETE_NO_SUCCESS,803,0,647,156,2015-11-23,2015-11-23,2018-06-19,647 dias sin _SUCCESS
CAL,INCOMPLETE_NO_SUCCESS,803,189,592,22,2015-11-23,2015-11-23,2018-12-31,592 dias sin _SUCCESS
CALD,INCOMPLETE_NO_SUCCESS,1864,0,1627,237,2011-10-17,2011-10-17,2018-04-04,1627 dias sin _SUCCESS
CALL,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
CAMP,INCOMPLETE_NO_SUCCESS,1864,0,1813,51,2011-10-17,2011-10-17,2018-12-31,1813 dias sin _SUCCESS
CAPL,INCOMPLETE_NO_SUCCESS,1076,0,1047,29,2014-11-03,2014-11-03,2018-12-31,1047 dias sin _SUCCESS
CAPN,INCOMPLETE_NO_SUCCESS,1068,0,626,442,2014-11-13,2014-11-13,2017-05-11,626 dias sin _SUCCESS
CAPR,INCOMPLETE_NO_SUCCESS,988,0,963,25,2015-03-08,2015-03-09,2018-12-31,963 dias sin _SUCCESS
CARS,INCOMPLETE_NO_SUCCESS,287,0,279,8,2017-11-20,2017-11-20,2018-12-31,279 dias sin _SUCCESS
CARV,EMPTY,1586,0,0,1586,2012-11-09,,,Directorio vacio
CASC,INCOMPLETE_NO_SUCCESS,561,0,341,220,2016-10-31,2016-10-31,2018-03-09,341 dias sin _SUCCESS
CASH,EMPTY,1856,0,0,1856,2011-10-27,,,Directorio vacio
CASI,INCOMPLETE_NO_SUCCESS,1076,0,1048,28,2014-11-03,2014-11-03,2018-12-31,1048 dias sin _SUCCESS
CASS,EMPTY,1864,0,0,1864,2011-10-17,,,Directorio vacio
